Date,Open,High,Low,Adj_Close,Volume
15-Feb-21,"61,056.85","61,650.65","60,948.15","61,633.20",0
12-Feb-21,"60,153.80","60,841.85","60,093.05","60,759.85",0
11-Feb-21,"60,541.90","60,636.05","60,241.40","60,375.80",0
10-Feb-21,"59,954.10","60,661.25","59,937.20","60,613.45",0
09-Feb-21,"59,597.50","59,814.70","59,492.40","59,722.00",0
08-Feb-21,"59,416.70","59,864.20","59,303.30","59,635.70",0
05-Feb-21,"58,757.15","59,157.60","58,654.60","58,894.85",0
04-Feb-21,"57,903.30","58,629.00","57,832.20","58,527.15",0
03-Feb-21,"57,656.00","58,097.20","57,634.70","57,864.10",0
02-Feb-21,"58,214.90","58,296.40","57,497.50","57,591.20",0
01-Feb-21,"57,913.00","58,109.70","57,623.70","57,623.70",0
29-Jan-21,"58,084.46","58,164.96","57,161.08","57,312.45",0
28-Jan-21,"57,644.44","58,200.08","57,202.91","58,084.46",111.06M
27-Jan-21,"58,720.55","58,761.60","57,513.33","57,644.44",164.30M
26-Jan-21,"59,408.05","59,457.32","58,621.01","58,720.55",134.67M
25-Jan-21,"58,886.26","60,264.43","58,886.26","59,408.05",141.01M
22-Jan-21,"58,969.37","59,226.72","58,689.04","58,886.26",111.58M
21-Jan-21,"58,857.76","59,255.11","58,854.06","58,969.37",126.42M
20-Jan-21,"58,358.85","59,187.90","58,358.85","58,857.76",113.86M
19-Jan-21,"58,548.17","58,830.21","58,297.65","58,358.85",106.40M
18-Jan-21,"58,446.35","58,674.91","58,330.64","58,548.17",83.06M
15-Jan-21,"58,735.95","59,001.81","58,446.35","58,446.35",100.84M
14-Jan-21,"58,337.66","58,912.50","58,329.78","58,735.95",103.30M
13-Jan-21,"58,492.92","58,843.92","58,319.56","58,337.66",140.68M
12-Jan-21,"58,717.77","58,936.26","58,330.63","58,492.92",118.90M
